longname,sex,from_nest,which_nest,latitude,longitude,state,county,year,date,site,fl_genus,fl_species,internal_barcode
mlb-ameslake-26jun21-affinis-01-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-06-25T00:00:00Z,ames lake,Thalictrum,sp.,BAFF302
mlb-nova-04jul21-affinis-01-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF303
mlb-nova-04jul21-affinis-02-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF304
mlb-nova-04jul21-affinis-03-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF305
mlb-nova-04jul21-affinis-04-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF306
mlb-nova-04jul21-affinis-05-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF307
mlb-nova-04jul21-affinis-07-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF308
mlb-nova-04jul21-affinis-08-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-04T00:00:00Z,nova,Sorbaria,sorbifolia,BAFF309
mlb-hamline-14july21-affinis-01-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF326
mlb-hamline-14july21-affinis-02-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF327
mlb-hamline-14july21-affinis-03-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF328
mlb-hamline-14july21-affinis-04-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF329
mlb-hamline-14july21-affinis-05-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF330
mlb-hamline-14july21-affinis-06-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF331
mlb-hamline-14july21-affinis-07-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF332
mlb-hamline-14july21-affinis-08-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-14T00:00:00Z,hamline,Astilbe,sp.,BAFF333
mlb-hamline-16july21-affinis-01-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-16T00:00:00Z,hamline,Astilbe,sp.,BAFF334
mlb-hamline-16july21-affinis-02-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-16T00:00:00Z,hamline,Astilbe,sp.,BAFF335
mlb-hamline-16july21-affinis-03-leg,female,NA,NA,NA,NA,minnesota,ramsey,2021,2021-07-16T00:00:00Z,hamline,Astilbe,sp.,BAFF336
