State,County
Illinois,Boone
Illinois,Bureau
Illinois,Carroll
Illinois,Champaign
Illinois,Cook
Illinois,DeKalb
Illinois,De Witt
Illinois,DuPage
Illinois,Henry
Illinois,Jo Daviess
Illinois,Kane
Illinois,Kendall
Illinois,Lake
Illinois,LaSalle
Illinois,Lee
Illinois,Macon
Illinois,McHenry
Illinois,Ogle
Illinois,Peoria
Illinois,Putnam
Illinois,Rock Island
Illinois,Stephenson
Illinois,Will
Illinois,Winnebago
Indiana,Fountain
Indiana,Hamilton
Indiana,Lake
Indiana,Marion
Indiana,Montgomery
Iowa,Allamakee
Iowa,Black Hawk
Iowa,Boone
Iowa,Cedar
Iowa,Clayton
Iowa,Iowa
Iowa,Jackson
Iowa,Johnson
Iowa,Linn
Iowa,Scott
Iowa,Story
Iowa,Winneshiek
Maine,Waldo
Massachusetts,Barnstable
Minnesota,Beltrami
Minnesota,Blue Earth
Minnesota,Carver
Minnesota,Chisago
Minnesota,Clearwater
Minnesota,Dakota
Minnesota,Fillmore
Minnesota,Goodhue
Minnesota,Hennepin
Minnesota,Houston
Minnesota,Itasca
Minnesota,Jackson
Minnesota,Nicollet
Minnesota,Olmsted
Minnesota,Ramsey
Minnesota,Rice
Minnesota,Scott
Minnesota,Sherburne
Minnesota,Wabasha
Minnesota,Washington
Minnesota,Winona
Minnesota,Wright
Ohio,Lucas
Virginia,Bath
Virginia,Clarke
Virginia,Fauquier
Virginia,Highland
Virginia,Loudoun
West Virginia,Mineral
West Virginia,Tucker
Wisconsin,Brown
Wisconsin,Buffalo
Wisconsin,Columbia
Wisconsin,Crawford
Wisconsin,Dane
Wisconsin,Dodge
Wisconsin,Eau Claire
Wisconsin,Fond du Lac
Wisconsin,Grant
Wisconsin,Green
Wisconsin,Iowa
Wisconsin,Jefferson
Wisconsin,Kenosha
Wisconsin,La Crosse
Wisconsin,Lafayette
Wisconsin,Manitowoc
Wisconsin,Milwaukee
Wisconsin,Monroe
Wisconsin,Ozaukee
Wisconsin,Pierce
Wisconsin,Polk
Wisconsin,Racine
Wisconsin,Rock
Wisconsin,Sauk
Wisconsin,Sheboygan
Wisconsin,St. Croix
Wisconsin,Walworth
Wisconsin,Washington
Wisconsin,Waukesha
Wisconsin,Waushara
