unique.ID,lat,lon,site,date,plant.capture,ClusterIndex,FamilyID,bee.tag,year,species
sra.260.2015,4371920.217,734790.6558,JM05,6/27/15,In Flight,1,s,Y50,2015,vosnesenskii
sra.16.2015,4371596.787,734610.8969,JM06,6/13/15,Penstemon rydbergii,2,2,G42,2015,vosnesenskii
sra.96.2015,4371629.904,735040.1672,JM04,6/18/15,Phacelia hydrophylloides,2,2,G88,2015,vosnesenskii
sra.112.2015,4371399.953,734527.9738,JM01,6/19/15,Penstemon rydbergii,2,2,Y8,2015,vosnesenskii
sra.127.2015,4371803.011,734581.9177,JM07,6/22/15,Ivesia sericoleuca,2,2,Y22,2015,vosnesenskii
sra.283.2015,4371627.602,734502.0517,JMX,6/29/15,Phacelia hydrophylloides,2,2,Y59,2015,vosnesenskii
sra.291.2015,4371386.797,734875.0291,JMY,6/29/15,Phacelia hydrophylloides,2,2,Y66,2015,vosnesenskii
sra.107.2015,4371929.963,734767.6247,JM05,6/19/15,Phacelia hydrophylloides,3,3,Y1,2015,vosnesenskii
sra.259.2015,4371920.118,734772.7458,JM05,6/27/15,Phacelia hydrophylloides,3,3,Y49,2015,vosnesenskii
sra.82.2015,4371449.789,734742.8123,JM02,6/17/15,Penstemon rydbergii,4,4,G74,2015,vosnesenskii
sra.98.2015,4371600.802,735036.7436,JM04,6/18/15,Phacelia hydrophylloides,4,4,G92,2015,vosnesenskii
sra.42.2015,4371483.83,734685.5417,JM02,6/17/15,Penstemon rydbergii,5,5,G61,2015,vosnesenskii
sra.212.2015,4371658.619,735071.0758,JM04,6/26/15,Phacelia hydrophylloides,5,5,Y45,2015,vosnesenskii
sra.15.2015,4371576.936,734615.804,JM06,6/13/15,Penstemon rydbergii,6,6,G40,2015,vosnesenskii
sra.89.2015,4371653.68,735062.0965,JM04,6/18/15,Phacelia hydrophylloides,6,6,G82,2015,vosnesenskii
sra.151.2015,4371657.18,734528.5437,JMX,6/23/15,Phacelia hydrophylloides,6,6,Y24,2015,vosnesenskii
sra.12.2015,4371593.863,734620.7174,JM06,6/13/15,Penstemon rydbergii,7,7,G37,2015,vosnesenskii
sra.28.2015,4371512.618,734329.7513,JM10,6/14/15,Penstemon rydbergii,7,7,G48,2015,vosnesenskii
