internal_barcode,longname,sex,from_nest,which_nest,state,county,year,date,site,fl_genus,fl_species,cluster,latitude,longitude,n,btern01_1,btern01_2,bt28_1,bt28_2,b96_1,b96_2,bt30_1,bt30_2,btms0081_1,btms0081_2,btms0066_1,btms0066_2,btms0083_1,btms0083_2,b126_1,b126_2,btms0062_1,btms0062_2,btern02_1,btern02_2,btms0086_1,btms0086_2,bl13_1,bl13_2,btms0059_1,btms0059_2,loci_w_data,family_index,occur,family_id
BAFF436,jmk-13jul21-01,female,NA,NA,wisconsin,walworth,2021,2021-07-13T00:00:00Z,Turtle Valley Wildlife Area (0074F),Desmodium,canadense,50,42.7138752,-88.6275016,45,108,110,186,192,193,193,240,244,304,304,141,144,338,356,165,181,248,266,195,201,267,267,185,185,352,356,13,1,TRUE,s
BAFF437,jmk-13jul21-02,female,NA,NA,wisconsin,walworth,2021,2021-07-13T00:00:00Z,Turtle Valley Wildlife Area (0074F),Eryngium,yuccifolium,50,42.7195896,-88.61523962,45,106,108,186,186,191,193,236,240,308,308,129,150,322,322,173,179,266,292,183,197,267,267,185,185,356,356,13,2,TRUE,s
BAFF438,jmk-13jul21-03,female,NA,NA,wisconsin,walworth,2021,2021-07-13T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7195896,-88.61523962,45,110,110,186,186,NA,NA,NA,NA,300,300,123,150,300,342,165,165,248,264,191,209,267,267,185,189,352,356,11,3,FALSE,3
BAFF469,jmk-29jul21-30,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,186,186,191,193,238,240,300,304,123,150,300,342,165,165,248,266,191,209,267,279,185,185,352,356,13,3,FALSE,3
BAFF439,jmk-27jul21-10,female,NA,NA,wisconsin,walworth,2021,2021-07-27T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7117186,-88.6275418,45,114,114,186,192,191,191,242,244,300,300,129,141,340,342,165,165,264,282,199,203,267,267,185,185,352,356,13,4,TRUE,s
BAFF440,jmk-29jul21-01,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,104,110,186,186,191,193,240,244,304,304,129,171,298,298,165,189,244,250,195,195,267,267,185,189,356,360,13,5,FALSE,5
BAFF459,jmk-29jul21-20,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,104,110,186,186,191,193,240,244,304,304,126,129,298,298,175,189,244,250,195,195,267,267,185,189,356,360,13,5,FALSE,5
BAFF441,jmk-29jul21-02,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,108,180,186,193,193,244,244,304,304,141,150,300,348,169,187,250,264,187,215,267,267,185,185,348,352,13,6,FALSE,6
BAFF443,jmk-29jul21-04,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,106,108,180,186,193,193,230,244,304,304,141,150,300,358,167,187,250,264,185,215,267,267,185,185,344,348,13,6,FALSE,6
BAFF452,jmk-29jul21-13,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,108,110,180,186,193,193,244,244,304,304,138,141,300,358,169,187,264,286,187,215,267,279,185,185,344,348,13,6,FALSE,6
BAFF479,jmk-29jul21-40,female,NA,NA,wisconsin,walworth,2021,2021-07-29T00:00:00Z,Turtle Valley Wildlife Area (0074F),Monarda,fistulosa,50,42.7138146,-88.6258426,45,110,110,180,186,191,193,244,244,304,304,141,150,300,358,169,187,250,264,185,215,267,279,185,185,348,352,13,6,FALSE,6
